step,train_loss,eval_loss,lr,gate_fft,gate_mem,time,train_loss
69,21.22753525,,2.72E-05,0.000069,0.000251,Tue Apr 14 20:07:04 2026,2.653441906
70,20.71470642,,2.76E-05,0.000068,0.000259,Tue Apr 14 20:09:14 2026,2.589338303
71,20.91042328,,2.80E-05,0.000069,0.000267,Tue Apr 14 20:11:24 2026,2.61380291
72,20.4741497,,2.84E-05,0.000072,0.000275,Tue Apr 14 20:13:34 2026,2.559268713
73,20.94784546,,2.88E-05,0.000075,0.000283,Tue Apr 14 20:15:44 2026,2.618480682
74,20.18398666,,2.92E-05,0.000077,0.000291,Tue Apr 14 20:17:54 2026,2.522998333
75,20.17042923,,2.96E-05,0.000079,0.000299,Tue Apr 14 20:20:04 2026,2.521303654
76,21.16328812,,3.00E-05,0.000082,0.000307,Tue Apr 14 20:22:17 2026,2.645411015
77,20.20462036,,3.04E-05,0.000083,0.000315,Tue Apr 14 20:26:26 2026,2.525577545
78,20.02686882,,3.08E-05,0.000083,0.000323,Tue Apr 14 20:29:58 2026,2.503358603
79,20.06461525,,3.12E-05,0.000082,0.000335,Tue Apr 14 20:32:08 2026,2.508076906
80,20.29080582,,3.16E-05,0.000082,0.000347,Tue Apr 14 20:34:17 2026,2.536350727
81,20.43638229,,3.20E-05,0.000082,0.000356,Tue Apr 14 20:36:27 2026,2.554547787
82,20.16537285,,3.24E-05,0.000083,0.000365,Tue Apr 14 20:38:37 2026,2.520671606
83,20.60701561,,3.28E-05,0.000083,0.000374,Tue Apr 14 20:40:47 2026,2.575876951
84,20.18874741,,3.32E-05,0.000083,0.000383,Tue Apr 14 20:42:57 2026,2.523593426
85,20.17180634,,3.36E-05,0.000084,0.000392,Tue Apr 14 20:45:07 2026,2.521475792
86,20.34478569,,3.40E-05,0.000084,0.000399,Tue Apr 14 20:47:24 2026,2.543098211
87,20.59004974,,3.44E-05,0.000084,0.000407,Tue Apr 14 20:49:45 2026,2.573756218
88,20.78468323,,3.48E-05,0.000083,0.000414,Tue Apr 14 20:53:53 2026,2.598085403
89,20.11623383,,3.52E-05,0.000082,0.000421,Tue Apr 14 20:57:56 2026,2.514529228
90,19.91147995,,3.56E-05,0.000081,0.000428,Tue Apr 14 21:01:38 2026,2.488934994
91,20.08688164,,3.60E-05,0.000084,0.000435,Tue Apr 14 21:03:48 2026,2.510860205
92,29.20143509,,3.64E-05,0.000088,0.000444,Tue Apr 14 21:07:16 2026,3.650179386
93,19.85873413,,3.68E-05,0.000088,0.000453,Tue Apr 14 21:09:39 2026,2.482341766
94,19.52784538,,3.72E-05,0.000089,0.000466,Tue Apr 14 21:12:06 2026,2.440980673
95,19.73516083,,3.76E-05,0.00009,0.000479,Tue Apr 14 21:16:37 2026,2.466895103
96,20.61640358,,3.80E-05,0.000091,0.000493,Tue Apr 14 21:20:46 2026,2.577050447
97,20.9879055,,3.84E-05,0.000092,0.000506,Tue Apr 14 21:24:34 2026,2.623488188
98,20.2747879,,3.88E-05,0.000091,0.00052,Tue Apr 14 21:28:28 2026,2.534348488
99,20.58426666,,3.92E-05,0.000089,0.000535,Tue Apr 14 21:32:31 2026,2.573033333
100,19.89605141,,3.96E-05,0.000087,0.000551,Tue Apr 14 21:36:23 2026,2.487006426
100,19.3781662,,3.96E-05,0.000087,0.000551,Tue Apr 14 21:57:38 2026,2.422270775
100,19.23767662,,3.96E-05,0.000087,0.000551,Tue Apr 14 22:19:49 2026,2.404709578
100,18.89261818,,3.96E-05,0.000087,0.000552,Tue Apr 14 22:26:43 2026,2.361577272
100,,2.540546894,,0.000087,0.000552,Tue Apr 14 22:28:26 2026,#N/A
101,19.77346039,,4.00E-05,0.000087,0.000568,Tue Apr 14 22:30:42 2026,2.471682549
102,19.49017906,,4.04E-05,0.00009,0.000585,Tue Apr 14 22:32:52 2026,2.436272383
103,19.46417999,,4.08E-05,0.000091,0.0006,Tue Apr 14 22:35:02 2026,2.433022499
104,20.04066849,,4.12E-05,0.000087,0.000617,Tue Apr 14 22:37:12 2026,2.505083561
105,20.26167488,,4.16E-05,0.000084,0.000633,Tue Apr 14 22:39:21 2026,2.53270936
106,20.0322361,,4.20E-05,0.000084,0.00065,Tue Apr 14 22:41:31 2026,2.504029512
107,19.87687683,,4.24E-05,0.000083,0.000669,Tue Apr 14 22:43:42 2026,2.484609604
108,19.6454792,,4.28E-05,0.000085,0.000688,Tue Apr 14 22:45:53 2026,2.4556849
109,19.44876099,,4.32E-05,0.000091,0.000712,Tue Apr 14 22:49:26 2026,2.431095123
110,19.32176018,,4.36E-05,0.000096,0.000735,Tue Apr 14 22:53:26 2026,2.415220022
111,20.16245651,,4.40E-05,0.00009,0.000757,Tue Apr 14 22:55:34 2026,2.520307064
112,19.64473343,,4.44E-05,0.000085,0.00078,Tue Apr 14 22:57:41 2026,2.455591679
113,19.30391693,,4.48E-05,0.000083,0.000802,Tue Apr 14 22:59:49 2026,2.412989616
114,20.24179649,,4.52E-05,0.000084,0.000823,Tue Apr 14 23:01:57 2026,2.530224562
115,19.69632149,,4.56E-05,0.000085,0.000841,Tue Apr 14 23:04:04 2026,2.462040186
116,19.75174332,,4.60E-05,0.000084,0.000862,Tue Apr 14 23:06:10 2026,2.468967915
117,19.72621155,,4.64E-05,0.000082,0.000882,Tue Apr 14 23:08:18 2026,2.465776443
118,19.47447586,,4.68E-05,0.000079,0.000903,Tue Apr 14 23:21:44 2026,2.434309483
119,19.53269958,,4.72E-05,0.000078,0.000923,Tue Apr 14 23:23:52 2026,2.441587448
120,19.1182251,,4.76E-05,0.00008,0.000943,Tue Apr 14 23:26:01 2026,2.389778137
121,18.8565979,,4.80E-05,0.000086,0.000964,Tue Apr 14 23:28:10 2026,2.357074738
122,19.52415466,,4.84E-05,0.00009,0.000985,Tue Apr 14 23:30:20 2026,2.440519333
123,20.49187851,,4.88E-05,0.000092,0.001004,Tue Apr 14 23:32:30 2026,2.561484814
124,19.69907951,,4.92E-05,0.000092,0.001022,Tue Apr 14 23:34:39 2026,2.462384939
125,20.25170708,,4.96E-05,0.000092,0.001039,Tue Apr 14 23:36:49 2026,2.531463385
126,19.50230789,,5.00E-05,0.00009,0.001058,Tue Apr 14 23:39:01 2026,2.437788486
127,19.13467789,,5.04E-05,0.000089,0.001077,Tue Apr 14 23:41:11 2026,2.391834736
128,19.4186573,,5.08E-05,0.000088,0.001097,Tue Apr 14 23:44:45 2026,2.427332163
129,19.72614098,,5.12E-05,0.00009,0.001118,Tue Apr 14 23:48:25 2026,2.465767622
130,19.22931099,,5.16E-05,0.000091,0.001138,Tue Apr 14 23:50:35 2026,2.403663874
131,18.67144585,,5.20E-05,0.000092,0.001158,Tue Apr 14 23:52:47 2026,2.333930731
132,19.19756508,,5.24E-05,0.000091,0.001182,Tue Apr 14 23:56:19 2026,2.399695635
133,19.29600906,,5.28E-05,0.00009,0.001205,Wed Apr 15 00:00:07 2026,2.412001133
134,19.03267288,,5.32E-05,0.000092,0.001232,Wed Apr 15 00:02:15 2026,2.37908411
135,19.15275574,,5.36E-05,0.000093,0.001256,Wed Apr 15 00:04:26 2026,2.394094467
136,18.79524803,,5.40E-05,0.000094,0.001278,Wed Apr 15 00:07:45 2026,2.349406004
137,19.43600082,,5.44E-05,0.000094,0.001304,Wed Apr 15 00:11:38 2026,2.429500103
138,19.16666985,,5.48E-05,0.000095,0.00133,Wed Apr 15 00:13:48 2026,2.395833731
139,18.50137329,,5.52E-05,0.000094,0.001356,Wed Apr 15 00:15:59 2026,2.312671661
140,18.63360786,,5.56E-05,0.000094,0.001382,Wed Apr 15 00:19:25 2026,2.329200983
141,18.68309021,,5.60E-05,0.000095,0.001411,Wed Apr 15 00:23:14 2026,2.335386276
142,19.34030533,,5.64E-05,0.000097,0.001443,Wed Apr 15 00:25:23 2026,2.417538166
143,19.09252357,,5.68E-05,0.000097,0.001472,Wed Apr 15 00:27:33 2026,2.386565447
144,19.5300045,,5.72E-05,0.000096,0.001509,Wed Apr 15 00:31:05 2026,2.441250563
145,19.23088646,,5.76E-05,0.000095,0.001545,Wed Apr 15 00:34:42 2026,2.403860807
146,18.73031807,,5.80E-05,0.000094,0.001578,Wed Apr 15 00:36:53 2026,2.341289759
147,18.95501709,,5.84E-05,0.000093,0.001611,Wed Apr 15 00:39:04 2026,2.369377136
148,18.81667709,,5.88E-05,0.000095,0.001647,Wed Apr 15 00:42:34 2026,2.352084637
149,19.89714432,,5.92E-05,0.000097,0.001679,Wed Apr 15 00:45:50 2026,2.48714304
150,19.00135422,,5.96E-05,0.000095,0.001716,Wed Apr 15 00:47:59 2026,2.375169277
151,18.91781998,,6.00E-05,0.000093,0.001752,Wed Apr 15 00:50:09 2026,2.364727497
152,18.96699333,,6.04E-05,0.000092,0.001788,Wed Apr 15 00:53:56 2026,2.370874166
153,18.8074379,,6.08E-05,0.000093,0.001823,Wed Apr 15 00:57:27 2026,2.350929737
154,19.84922981,,6.12E-05,0.000096,0.001857,Wed Apr 15 00:59:36 2026,2.481153727
155,18.76786041,,6.16E-05,0.000097,0.001889,Wed Apr 15 01:01:47 2026,2.345982552
156,18.20596886,,6.20E-05,0.000097,0.001925,Wed Apr 15 01:05:16 2026,2.275746107
157,18.56328583,,6.24E-05,0.000095,0.001955,Wed Apr 15 01:09:21 2026,2.320410728
158,18.41236877,,6.28E-05,0.000095,0.001982,Wed Apr 15 01:11:30 2026,2.301546097
159,18.60042763,,6.32E-05,0.000102,0.002005,Wed Apr 15 01:13:40 2026,2.325053453
160,19.13829613,,6.36E-05,0.000108,0.002026,Wed Apr 15 01:15:51 2026,2.392287016
161,19.83010292,,6.40E-05,0.000111,0.002047,Wed Apr 15 01:18:01 2026,2.478762865
162,18.76315117,,6.44E-05,0.00011,0.00207,Wed Apr 15 01:21:27 2026,2.345393896
163,18.16292953,,6.48E-05,0.000107,0.002094,Wed Apr 15 01:25:24 2026,2.270366192
164,18.94199944,,6.52E-05,0.000103,0.002123,Wed Apr 15 01:27:35 2026,2.367749929
165,18.63892746,,6.56E-05,0.000101,0.002151,Wed Apr 15 01:29:45 2026,2.329865932
166,19.85186577,,6.60E-05,0.0001,0.002173,Wed Apr 15 01:31:56 2026,2.481483221
167,19.75449181,,6.64E-05,0.000101,0.002188,Wed Apr 15 01:35:30 2026,2.469311476
168,18.58369827,,6.68E-05,0.000105,0.002194,Wed Apr 15 01:39:27 2026,2.322962284
169,18.81065559,,6.72E-05,0.000109,0.002199,Wed Apr 15 01:41:36 2026,2.351331949
170,18.93782806,,6.76E-05,0.000112,0.002206,Wed Apr 15 01:43:45 2026,2.367228508
171,19.25570488,,6.80E-05,0.000113,0.002213,Wed Apr 15 01:45:57 2026,2.40696311
172,19.25182915,,6.84E-05,0.00011,0.002223,Wed Apr 15 01:48:07 2026,2.406478643
173,18.30755806,,6.88E-05,0.000104,0.002234,Wed Apr 15 01:51:41 2026,2.288444757
174,19.03691673,,6.92E-05,0.000099,0.002248,Wed Apr 15 01:55:44 2026,2.379614592
175,19.27647209,,6.96E-05,0.000096,0.002263,Wed Apr 15 01:57:53 2026,2.409559011
176,19.22123718,,7.00E-05,0.000098,0.002281,Wed Apr 15 02:00:03 2026,2.402654648
177,18.93696022,,7.04E-05,0.000101,0.002298,Wed Apr 15 02:03:29 2026,2.367120028
178,18.87100601,,7.08E-05,0.000104,0.002312,Wed Apr 15 02:07:27 2026,2.358875751
179,18.73199463,,7.12E-05,0.000106,0.00233,Wed Apr 15 02:09:36 2026,2.341499329
180,18.74241638,,7.16E-05,0.000111,0.002359,Wed Apr 15 02:11:46 2026,2.342802048
181,18.49940681,,7.20E-05,0.000115,0.002386,Wed Apr 15 02:13:56 2026,2.312425852
182,19.6182518,,7.24E-05,0.000118,0.002406,Wed Apr 15 02:16:06 2026,2.452281475
183,21.80535126,,7.28E-05,0.000114,0.002425,Wed Apr 15 02:18:16 2026,2.725668907
184,19.42577553,,7.32E-05,0.000106,0.002437,Wed Apr 15 02:20:29 2026,2.428221941
185,19.30438614,,7.36E-05,0.000098,0.002448,Wed Apr 15 02:22:54 2026,2.413048267
186,19.87610626,,7.40E-05,0.000094,0.002453,Wed Apr 15 02:27:05 2026,2.484513283
187,19.14345551,,7.44E-05,0.000092,0.002454,Wed Apr 15 02:31:07 2026,2.392931938
188,18.17134476,,7.48E-05,0.000092,0.002456,Wed Apr 15 02:34:19 2026,2.271418095
189,18.35021973,,7.52E-05,0.00009,0.002472,Wed Apr 15 02:36:52 2026,2.293777466
190,18.80177689,,7.56E-05,0.000088,0.002488,Wed Apr 15 02:39:03 2026,2.350222111
191,18.77091026,,7.60E-05,0.000088,0.002504,Wed Apr 15 02:41:27 2026,2.346363783
192,18.52537727,,7.64E-05,0.000097,0.00252,Wed Apr 15 02:46:15 2026,2.315672159
193,19.18647194,,7.68E-05,0.000106,0.002531,Wed Apr 15 02:50:15 2026,2.398308992
194,18.67679787,,7.72E-05,0.000111,0.002544,Wed Apr 15 02:52:28 2026,2.334599733
195,18.79154968,,7.76E-05,0.000109,0.002563,Wed Apr 15 02:54:51 2026,2.34894371
196,18.29292488,,7.80E-05,0.000103,0.002579,Wed Apr 15 02:57:08 2026,2.28661561
197,18.88183212,,7.84E-05,0.000097,0.002595,Wed Apr 15 02:59:20 2026,2.360229015
198,18.00016403,,7.88E-05,0.000098,0.002608,Wed Apr 15 03:01:33 2026,2.250020504
199,18.26368713,,7.92E-05,0.000101,0.002622,Wed Apr 15 03:05:13 2026,2.282960892
200,19.43483734,,7.96E-05,0.000104,0.002637,Wed Apr 15 03:09:09 2026,2.429354668
200,,2.369911671,,0.000104,0.002637,Wed Apr 15 03:10:49 2026,#N/A
201,18.24720573,,8.00E-05,0.000106,0.002645,Wed Apr 15 03:16:46 2026,2.280900717
202,18.62866783,,8.04E-05,0.000104,0.002659,Wed Apr 15 03:19:01 2026,2.328583479
203,17.96960068,,8.08E-05,0.000098,0.002687,Wed Apr 15 03:21:22 2026,2.246200085
204,18.42986298,,8.12E-05,0.000096,0.00271,Wed Apr 15 03:23:41 2026,2.303732872
205,19.51631355,,8.16E-05,0.000099,0.002736,Wed Apr 15 03:25:51 2026,2.439539194
206,18.79826546,,8.20E-05,0.000101,0.002762,Wed Apr 15 03:28:01 2026,2.349783182
207,19.03362083,,8.24E-05,0.000099,0.002788,Wed Apr 15 03:30:12 2026,2.379202604
208,31.54112244,,8.28E-05,0.000093,0.002823,Wed Apr 15 03:34:06 2026,3.942640305
209,18.249506,,8.32E-05,0.000089,0.002851,Wed Apr 15 03:37:08 2026,2.28118825
210,17.8757782,,8.36E-05,0.000093,0.002871,Wed Apr 15 03:40:56 2026,2.234472275
211,17.58081055,,8.40E-05,0.000098,0.00289,Wed Apr 15 03:44:51 2026,2.197601318
212,18.41887665,,8.44E-05,0.000097,0.002915,Wed Apr 15 03:48:52 2026,2.302359581
213,19.34108162,,8.48E-05,0.000097,0.002937,Wed Apr 15 03:52:46 2026,2.417635202
214,18.46796036,,8.52E-05,0.000098,0.002955,Wed Apr 15 03:56:37 2026,2.308495045
215,19.0551796,,8.56E-05,0.000097,0.002985,Wed Apr 15 04:00:26 2026,2.381897449
216,18.30419922,,8.60E-05,0.000096,0.003019,Wed Apr 15 04:04:36 2026,2.288024902
217,18.0366497,,8.64E-05,0.000099,0.003055,Wed Apr 15 04:08:26 2026,2.254581213
218,18.22900391,,8.68E-05,0.000101,0.003084,Wed Apr 15 04:12:14 2026,2.278625488
219,18.63115883,,8.72E-05,0.0001,0.00311,Wed Apr 15 04:15:46 2026,2.328894854
220,18.16359138,,8.76E-05,0.000096,0.003144,Wed Apr 15 04:18:07 2026,2.270448923
221,17.6223011,,8.80E-05,0.000092,0.003178,Wed Apr 15 04:20:28 2026,2.202787638
222,18.11469269,,8.84E-05,0.000092,0.003211,Wed Apr 15 04:22:48 2026,2.264336586
223,18.17642021,,8.88E-05,0.000093,0.003244,Wed Apr 15 04:25:09 2026,2.272052526
224,17.92931366,,8.92E-05,0.000096,0.003282,Wed Apr 15 04:27:26 2026,2.241164207
225,18.0277977,,8.96E-05,0.000099,0.003323,Wed Apr 15 04:32:07 2026,2.253474712
226,17.69067955,,9.00E-05,0.000101,0.00336,Wed Apr 15 04:35:56 2026,2.211334944
227,18.35122681,,9.04E-05,0.0001,0.003405,Wed Apr 15 04:39:01 2026,2.293903351
228,18.08630371,,9.08E-05,0.000097,0.003442,Wed Apr 15 04:41:10 2026,2.260787964
229,17.46903038,,9.12E-05,0.000096,0.003475,Wed Apr 15 04:43:20 2026,2.183628798
230,17.57954025,,9.16E-05,0.000098,0.003512,Wed Apr 15 04:45:30 2026,2.197442532
231,17.58362389,,9.20E-05,0.000097,0.00355,Wed Apr 15 04:47:41 2026,2.197952986
232,18.27340508,,9.24E-05,0.000093,0.003584,Wed Apr 15 04:49:51 2026,2.284175634
233,18.00035095,,9.28E-05,0.00009,0.003614,Wed Apr 15 04:52:01 2026,2.250043869
234,18.42176819,,9.32E-05,0.000094,0.003656,Wed Apr 15 04:54:11 2026,2.302721024
235,18.30897141,,9.36E-05,0.000095,0.003695,Wed Apr 15 04:56:22 2026,2.288621426
236,17.73295021,,9.40E-05,0.000093,0.003737,Wed Apr 15 04:58:34 2026,2.216618776
237,17.98488045,,9.44E-05,0.000091,0.003777,Wed Apr 15 05:02:04 2026,2.248110056
238,17.76006508,,9.48E-05,0.000092,0.003816,Wed Apr 15 05:05:50 2026,2.220008135
239,18.78191185,,9.52E-05,0.000092,0.003862,Wed Apr 15 05:08:00 2026,2.347738981
240,18.03507042,,9.56E-05,0.000091,0.003909,Wed Apr 15 05:10:14 2026,2.254383802
241,17.92309189,,9.60E-05,0.000088,0.003961,Wed Apr 15 05:14:11 2026,2.240386486
242,18.05411339,,9.64E-05,0.000089,0.004019,Wed Apr 15 05:16:20 2026,2.256764174
243,17.96605301,,9.68E-05,0.00009,0.004066,Wed Apr 15 05:18:33 2026,2.245756626
244,18.96746254,,9.72E-05,0.000091,0.00412,Wed Apr 15 05:22:50 2026,2.370932817
245,17.84403419,,9.76E-05,0.00009,0.004183,Wed Apr 15 05:26:57 2026,2.230504274
246,17.2557373,,9.80E-05,0.00009,0.004246,Wed Apr 15 05:29:11 2026,2.156967163
247,17.73442459,,9.84E-05,0.000091,0.004309,Wed Apr 15 05:31:34 2026,2.216803074
248,17.60916901,,9.88E-05,0.000093,0.004371,Wed Apr 15 05:34:58 2026,2.201146126
249,17.7755928,,9.92E-05,0.000096,0.004433,Wed Apr 15 05:39:36 2026,2.2219491
250,18.27263641,,9.96E-05,0.000095,0.004501,Wed Apr 15 05:43:03 2026,2.284079552
251,18.9635067,,0.0001,0.00009,0.004575,Wed Apr 15 05:45:12 2026,2.370438337
252,17.97985458,,1.00E-04,0.00009,0.00466,Wed Apr 15 05:47:24 2026,2.247481823
253,17.4146862,,1.00E-04,0.000091,0.004729,Wed Apr 15 05:50:49 2026,2.176835775
254,18.25931931,,1.00E-04,0.000089,0.004789,Wed Apr 15 05:54:36 2026,2.282414913
255,17.65560913,,1.00E-04,0.000086,0.004853,Wed Apr 15 05:56:56 2026,2.206951141
256,17.5687561,,1.00E-04,0.000084,0.004926,Wed Apr 15 05:59:16 2026,2.196094513
257,18.0782814,,1.00E-04,0.000091,0.004994,Wed Apr 15 06:01:36 2026,2.259785175
258,17.38838196,,1.00E-04,0.000095,0.005065,Wed Apr 15 06:04:00 2026,2.173547745
259,17.55517769,,1.00E-04,0.000094,0.005147,Wed Apr 15 06:06:10 2026,2.194397211
260,17.64556122,,1.00E-04,0.000093,0.005248,Wed Apr 15 06:08:22 2026,2.205695152
261,18.23571587,,1.00E-04,0.000094,0.005343,Wed Apr 15 06:10:46 2026,2.279464483
262,18.2994175,,1.00E-04,0.000089,0.005428,Wed Apr 15 06:14:48 2026,2.287427187
263,17.36494255,,1.00E-04,0.000082,0.005539,Wed Apr 15 06:19:03 2026,2.170617819
264,18.13617706,,1.00E-04,0.00008,0.005646,Wed Apr 15 06:22:41 2026,2.267022133
265,18.42571449,,1.00E-04,0.000087,0.005727,Wed Apr 15 06:26:41 2026,2.303214312
266,18.3831749,,1.00E-04,0.000088,0.005819,Wed Apr 15 06:29:02 2026,2.297896862
